id,ja_jp,english,time,reqFlagLevel,reqCombinedLevel,reqDrum,reqDrumCarriers,reqComposition,shipExp,hqExp,fuel,ammo,steel,baux,item,itemCount,gsItem,gsItemCount,fuelConsum,ammoConsum
24,北方航路海上護衛,Guard the North Sea Route!,500,50,200,0,0,"1CL,4DD,1XX",65,80,500,0,0,150,devmat,2,bucket,1,8,6
25,通商破壊作戦,Trade Route Destruction Strategy,2400,25,0,0,0,"2CA,2DD",80,180,900,0,500,0,none,0,none,0,5,8
26,敵母港空襲作戦,Enemy Home Port Bombing Campaign,1920,30,0,0,0,"1CV,1CL,2DD",150,200,0,0,0,900,bucket,3,smallBox,2,8,8
27,潜水艦通商破壊作戦,Submarine Commerce Destruction Strategy,1200,1,0,0,0,2SS,80,60,0,0,800,0,devmat,1,medBox,1,8,8
28,西方海域封鎖作戦,Western Sea Blockade Operation,1500,30,0,0,0,3SS,100,140,0,0,900,350,devmat,2,smallBox,1,8,8
29,潜水艦派遣演習,Submarine Dispatch Exercises,1440,50,0,0,0,3SS,100,100,0,0,0,100,devmat,1,none,0,9,4
30,潜水艦派遣作戦,Submarine Dispatch Operations,2880,55,0,0,0,4SS,100,150,0,0,0,100,devmat,3,none,0,9,7
31,海外艦との接触,Contacting Foreign Vessels,120,60,200,0,0,4SS,50,50,0,30,0,0,smallBox,1,none,0,5,0
32,遠洋練習航海,Seafaring Training,1440,5,0,0,0,"1CT,2DD,3XX",300,0,50,50,50,50,largeBox,1,devmat,3,9,3
33,前衛支援任務,Node Support Expedition,15,0,0,0,0,6XX,0,0,0,0,0,0,none,0,none,0,5,8
34,艦隊決戦支援任務,Boss Support Expedition,30,0,0,0,0,6XX,0,0,0,0,0,0,none,0,none,0,5,8
35,ＭＯ作戦,Operation MO,420,40,0,0,0,"2CV,1CA,1DD,2XX",100,100,0,0,240,280,smallBox,2,devmat,1,8,8
36,水上機基地建設,Water Base Construction,540,30,0,0,0,"2AV,1CL,1DD,2XX",100,100,480,0,200,200,medBox,2,bucket,1,8,8
37,東京急行,Tokyo Express I,165,50,200,4,3,"1CL,5DD",50,65,0,380,270,0,smallBox,1,none,0,8,8
38,東京急行(弐),Tokyo Express II,175,65,240,8,4,"5DD,1XX",100,70,420,0,200,0,smallBox,1,none,0,8,8
39,遠洋潜水艦作戦,Deep-Sea Submarine Warfare,1800,3,180,0,0,"1AS,4SS",130,320,0,0,300,0,bucket,2,medBox,1,9,9
40,水上機前線輸送,Front-Line Seaplane Delivery,410,25,150,0,0,"1CL,2AV,2DD,1XX",60,70,300,300,0,100,smallBox,3,bucket,1,8,7
